parent_class_p	log2FC_p	padj_p	parent_class_h	log2FC_h	padj_h	gene_id	classification
344	equal	-0.75568146981567	0.122218053504755	equal	0.140662191555647	0.971509507540297	lcl|NC_030664.1_cds_XP_017641132.1_454	PEI eq
351	equal	-0.0875953206739521	0.939768272006307	G_raimondii	-1.45580192924537	0.0189663542641602	lcl|NC_030664.1_cds_XP_017630340.1_467	HEBi
356	equal	-0.513560611673293	0.299730316348222	equal	-0.875767106546073	0.6434519378104	lcl|NC_030664.1_cds_XP_017614106.1_476	PEI eq
359	G_arboreum	1.96385819683613	0.000202662290564618	equal	-0.548010373977797	0.8877098941652	lcl|NC_030664.1_cds_XP_017626121.1_480	HEBl
360	G_arboreum	1.60714624328571	0.00427722872292308	equal	-1.3578880645824	0.460190565531888	lcl|NC_030664.1_cds_XP_017626081.1_482	HEBl
361	equal	0.228068340055722	0.679316025141439	equal	0.0243441243545404	0.993528091579969	lcl|NC_030664.1_cds_XP_017606396.1_488	PEI eq
362	equal	-0.548327845782625	0.0182513242724349	equal	0.836352210915592	0.076784365129537	lcl|NC_030664.1_cds_XP_017631171.1_489	PEI eq
365	equal	0.0894842983583429	0.898103361207014	equal	0.00656964899330669	0.997539792689951	lcl|NC_030664.1_cds_XP_017611122.1_492	PEI eq
375	equal	0.599860180490456	0.00167627988252833	equal	-0.37524508072928	0.591454134575115	lcl|NC_030664.1_cds_XP_017616216.1_504	PEI eq
388	equal	0.0792443730271857	0.895531302689104	equal	-0.235737408210185	0.960810709133385	lcl|NC_030664.1_cds_XP_017611478.1_519	PEI eq
394	equal	-0.147265758186627	0.829516575672945	equal	-0.224771279426451	0.917323681343884	lcl|NC_030664.1_cds_XP_017623949.1_526	PEI eq
396	equal	-0.0638235058989905	0.944649506348299	equal	0.0339172471095202	0.991647698430279	lcl|NC_030664.1_cds_XP_017605386.1_529	PEI eq
397	equal	-0.779376772958595	0.0125518585045616	equal	0.997534408295469	0.124717636991839	lcl|NC_030664.1_cds_XP_017628443.1_530	PEI eq
398	equal	1.03203778772965	0.082453580387464	equal	-0.211275654354046	0.953019414567746	lcl|NC_030664.1_cds_XP_017627100.1_531	PEI eq
399	equal	-0.655335941611328	0.00704966413410152	equal	-0.512230834610256	0.623630272847133	lcl|NC_030664.1_cds_XP_017605165.1_533	PEI eq
401	equal	0.984799292630375	0.00728859954757762	equal	1.35915478084322	0.571796341717012	lcl|NC_030664.1_cds_XP_017612863.1_535	PEI eq
403	equal	-0.818201770115044	0.0526325583790719	equal	-0.392995416072507	0.876422995294293	lcl|NC_030664.1_cds_XP_017623474.1_537	PEI eq
404	equal	-0.673564946020323	0.0537593287987158	equal	-0.46305880733601	0.736856964186094	lcl|NC_030664.1_cds_XP_017606651.1_538	PEI eq
414	equal	0.054228957396246	0.949151682739091	G_arboreum	5.63740260943618	0.0289770020537873	lcl|NC_030664.1_cds_XP_017644258.1_554	HEBi
417	equal	0.922840567763268	0.0103601021879902	equal	0.692809039639729	0.54532582444214	lcl|NC_030664.1_cds_XP_017630833.1_557	PEI eq
422	equal	0.592567610304741	0.120003693972086	G_arboreum	7.96686178432898	2.34208250692681e-05	lcl|NC_030664.1_cds_XP_017613127.1_562	HEBi
426	equal	0.527477770325623	0.612738784335511	equal	-0.284317137958127	0.949650513122731	lcl|NC_030664.1_cds_XP_017641245.1_566	PEI eq
427	G_raimondii	-1.48522687288495	6.33303039394315e-06	equal	4.986465516244	0.10420780367905	lcl|NC_030664.1_cds_XP_017626276.1_567	HEBl
429	equal	-0.897837019783043	7.13904219575726e-05	equal	-0.379068681706285	0.73842254089546	lcl|NC_030664.1_cds_XP_017628622.1_570	PEI eq
432	equal	-0.52831155600453	0.10393759849129	equal	0.910788329005721	0.322088024555985	lcl|NC_030664.1_cds_XP_017604939.1_573	PEI eq
433	equal	-0.667187834905539	0.114858411965979	equal	-0.436857658964834	0.815490083219325	lcl|NC_030664.1_cds_XP_017614044.1_574	PEI eq
442	equal	0.120949947686788	0.862133086563419	equal	0.463933946238657	0.914002055117273	lcl|NC_030664.1_cds_XP_017605107.1_585	PEI eq
445	equal	-0.734145226349029	0.0303382998266534	equal	0.935086601122646	0.317115942291305	lcl|NC_030664.1_cds_XP_017622582.1_589	PEI eq
450	equal	-0.230800532012454	0.621645595173016	equal	0.111889996759224	0.961510853096785	lcl|NC_030664.1_cds_XP_017607698.1_594	PEI eq
452	equal	-0.273302311533911	0.593017550936755	equal	0.379172034067628	0.868797817254037	lcl|NC_030664.1_cds_XP_017611951.1_599	PEI eq
456	G_raimondii	-1.24960183140146	7.63196465406053e-05	equal	-2.08299709165751	0.425431012323397	lcl|NC_030664.1_cds_XP_017613574.1_604	HEBl
460	equal	0.382168145841079	0.25960435287487	equal	-0.603360214546445	0.892959635555872	lcl|NC_030664.1_cds_XP_017609277.1_608	PEI eq
462	equal	-0.334464867634146	0.555394837123043	equal	-0.59809024203573	0.689779696601268	lcl|NC_030664.1_cds_XP_017609268.1_610	PEI eq
465	equal	-0.428384810734068	0.440676680659009	equal	4.60019648688535	0.1856103924016	lcl|NC_030664.1_cds_XP_017613328.1_618	PEI eq
468	equal	0.314569651774996	0.385947352614186	equal	-1.13552150025779	0.16661853921935	lcl|NC_030664.1_cds_XP_017609588.1_624	PEI eq
469	G_raimondii	-1.28632379936987	2.29679869650021e-05	equal	4.48905973074581	0.0819796372212564	lcl|NC_030664.1_cds_XP_017643373.1_626	HEBl
479	equal	0.505253087801133	0.20740633684382	G_arboreum	1.64610028640971	0.000891396974392437	lcl|NC_030664.1_cds_XP_017612458.1_640	HEBi
482	equal	-0.465530362902008	0.128886544145225	equal	-0.299542033106059	0.724951184397464	lcl|NC_030664.1_cds_XP_017606431.1_643	PEI eq
500	G_raimondii	-2.48527173836211	3.27536819914681e-08	equal	-0.496741353874666	0.869063947543112	lcl|NC_030664.1_cds_XP_017640288.1_665	HEBl
501	equal	0.155722289520238	0.884728515549683	equal	-0.609440450148595	0.871074678630578	lcl|NC_030664.1_cds_XP_017622875.1_666	PEI eq
503	equal	-0.10702486619036	0.82531615052004	equal	0.821162947638147	0.306497957880943	lcl|NC_030664.1_cds_XP_017610081.1_669	PEI eq
505	G_raimondii	-1.62390317731829	1.62767815840913e-09	equal	-0.905776812923775	0.269568517742934	lcl|NC_030664.1_cds_XP_017616100.1_672	HEBl
509	equal	0.0189630258108882	0.974396604545393	equal	-0.624525688435936	0.392876074560785	lcl|NC_030664.1_cds_XP_017608587.1_676	PEI eq
510	equal	0.963745718960168	0.00259980136423666	equal	0.673358193964819	0.600663787304283	lcl|NC_030664.1_cds_XP_017606041.1_678	PEI eq
514	equal	0.972125885143266	0.0656285837657953	equal	1.68490539455721	0.0943088691268885	lcl|NC_030664.1_cds_XP_017612045.1_683	PEI eq
516	equal	-0.0121658571228747	0.979076177279219	equal	-0.146490689040209	0.912909049742532	lcl|NC_030664.1_cds_XP_017631350.1_685	PEI eq
517	equal	0.173438876921772	0.747520366738373	G_raimondii	-1.69178727020455	0.0173428039712729	lcl|NC_030664.1_cds_XP_017631399.1_686	HEBi
537	equal	-0.744584869702741	0.00955159978185468	equal	0.361346872957737	0.911815868725978	lcl|NC_030664.1_cds_XP_017623920.1_707	PEI eq
538	G_raimondii	-1.96174407354027	2.9075036626209e-06	equal	-1.30595241359113	0.327962758200649	lcl|NC_030664.1_cds_XP_017604920.1_708	HEBl
540	equal	0.165140415676717	0.870113361179392	equal	-0.322895331649185	0.941913762649937	lcl|NC_030664.1_cds_XP_017622033.1_712	PEI eq
542	equal	-0.334963727915999	0.621645595173016	equal	-2.00270525744318	0.0854999134658801	lcl|NC_030664.1_cds_XP_017623633.1_715	PEI eq
543	G_arboreum	1.2345264456716	0.000140765375695249	equal	0.327869469411717	0.777295855261647	lcl|NC_030664.1_cds_XP_017626560.1_717	HEBl
544	equal	0.379559167269965	0.200440701193647	equal	-0.0298110833196255	0.985236449710051	lcl|NC_030664.1_cds_XP_017607801.1_718	PEI eq
554	equal	0.0546592724933917	0.923935780623866	equal	-0.292543507830325	0.788418499608493	lcl|NC_030664.1_cds_XP_017610938.1_731	PEI eq
